PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,STATEN ISLAND,1.25,0,0,0,0,0,0,0,0,2015,Jul,Sept
PLAYGROUND NINETY,QUEENS       ,1.25,0,0,0,0,0,0,0,0,2015,Jul,Sept
NEPTUNE PLAYGROUND,BROOKLYN     ,1.243,0,0,0,0,0,0,0,0,2015,Jul,Sept
ANNUNCIATION PARK,MANHATTAN    ,1.24,0,0,0,0,0,0,0,0,2015,Jul,Sept
HECKSCHER PLAYGROUND,BROOKLYN     ,1.24,0,0,0,0,0,0,0,0,2015,Jul,Sept
GRASSMERE PLAYGROUND,QUEENS       ,1.239,0,0,0,0,0,0,0,0,2015,Jul,Sept
QUEENSBORO OVAL,MANHATTAN    ,1.239,0,0,0,0,0,0,0,0,2015,Jul,Sept
GONZALO PLASENCIA PLAYGROUND,BROOKLYN     ,1.236,0,0,0,0,0,0,0,0,2015,Jul,Sept
FRESH MEADOWS PARK,QUEENS       ,1.23,0,0,0,0,0,0,0,0,2015,Jul,Sept
PATRICK O'ROURKE PARK,BROOKLYN     ,1.23,0,0,0,0,0,0,0,0,2015,Jul,Sept
RIENZI PLAYGROUND,BRONX        ,1.23,0,0,0,0,0,0,0,0,2015,Jul,Sept
ROEBLING PLAYGROUND,BROOKLYN     ,1.23,0,0,0,0,0,0,0,0,2015,Jul,Sept
HOWARD BENNETT PLAYGROUND,MANHATTAN    ,1.228,0,0,0,0,0,0,0,0,2015,Jul,Sept
STANLEY ISAACS PLAYGROUND,MANHATTAN    ,1.227,0,0,0,0,0,0,0,0,2015,Jul,Sept
CHAPPETTO SQUARE,QUEENS       ,1.226,0,0,0,0,0,0,0,0,2015,Jul,Sept
BRIGHTON PLAYGROUND,BROOKLYN     ,1.225,0,0,0,0,0,0,0,0,2015,Jul,Sept
NELSON PLAYGROUND,BRONX        ,1.222,0,0,0,0,0,0,0,0,2015,Jul,Sept
SHEEPSHEAD BAY PIERS,BROOKLYN     ,1.22,0,0,0,0,0,0,0,0,2015,Jul,Sept
ELEANOR ROOSEVELT PLAYGROUND,BROOKLYN     ,1.211,0,0,0,0,0,0,0,0,2015,Jul,Sept
