PARK,BOROUGH,SIZE.ACRES,MURDER,RAPE,ROBBERY,FELONY.ASSAULT,BURGLARY,GRAND.LARCENY,GRAND.LARCENY.OF.MV,TOTAL_CRIME,YEAR,MON_STAR,MON_END
CUYLER GORE PARK,BROOKLYN     ,1.16,0,0,0,0,0,0,0,0,2016,Jul,Sep
BATH PLAYGROUND,BROOKLYN     ,1.16,0,0,0,0,0,0,0,0,2016,Jul,Sep
POLICE OFFICER NICHOLAS DEMUTIIS PARK,QUEENS       ,1.15,0,0,0,1,0,0,0,1,2016,Jul,Sep
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",QUEENS       ,1.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
RAPPAPORT PLAYGROUND,BROOKLYN     ,1.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
EAST SPRINGFIELD PLAYGROUND,QUEENS       ,1.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
WILLETS POINT PLAYGROUND,QUEENS       ,1.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
TOAD HALL PLAYGROUND,STATEN ISLAND,1.15,0,0,0,0,0,0,0,0,2016,Jul,Sep
SEASIDE PLAYGROUND,QUEENS       ,1.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
CORPORAL JOHN A. SERAVALLI PLAYGROUND,MANHATTAN    ,1.14,0,0,0,0,0,1,0,1,2016,Jul,Sep
POPPENHUSEN PLAYGROUND,QUEENS       ,1.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,QUEENS       ,1.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOBEL COURT PARK,STATEN ISLAND,1.14,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNNAMED PARK ON SOUNDVIEW AVENUE,BRONX        ,1.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
D'EMIC PLAYGROUND,BROOKLYN     ,1.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
FIDLER-WYCKOFF HOUSE PARK,BROOKLYN     ,1.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
WESTBOURNE PLAYGROUND,QUEENS       ,1.13,0,0,0,0,0,0,0,0,2016,Jul,Sep
PRESCOTT PLAYGROUND,STATEN ISLAND,1.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
LOPEZ PLAYGROUND,STATEN ISLAND,1.12,0,0,0,0,0,0,0,0,2016,Jul,Sep
HUGH J. GRANT CIRCLE,BRONX        ,1.11,0,0,0,0,0,0,0,0,2016,Jul,Sep
P.S. 29 BALL FIELD,BRONX        ,1.11,0,0,0,0,0,0,0,0,2016,Jul,Sep
PENA HERRERA PARK,BROOKLYN     ,1.11,0,0,0,0,0,0,0,0,2016,Jul,Sep
MENTONE PLAYGROUND,QUEENS       ,1.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
MIDDLETON PLAYGROUND,BROOKLYN     ,1.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
DE HOSTOS PLAYGROUND,BROOKLYN     ,1.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
SARATOGA BALLFIELDS,BROOKLYN     ,1.1,0,0,0,0,0,0,0,0,2016,Jul,Sep
ROBERT MOSES PLAYGROUND,MANHATTAN    ,1.09,0,0,0,0,0,0,0,0,2016,Jul,Sep
STOCKTON PLAYGROUND,BROOKLYN     ,1.09,0,0,0,0,0,0,0,0,2016,Jul,Sep
JACOB'S LADDER PLAYGROUND,BROOKLYN     ,1.09,0,0,0,0,0,0,0,0,2016,Jul,Sep
LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.09,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNNAMED PARK ON HAMILTON AVENUE,BROOKLYN     ,1.08,0,0,0,0,0,0,0,0,2016,Jul,Sep
LATIMER PLAYGROUND,QUEENS       ,1.08,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNNAMED PARK ON MELROSE AVENUE,BRONX        ,1.08,0,0,0,0,0,0,0,0,2016,Jul,Sep
MARLBORO PLAYGROUND,BROOKLYN     ,1.07,0,0,0,0,0,0,0,0,2016,Jul,Sep
NORTH ROCHDALE PLAYGROUND,QUEENS       ,1.07,0,0,0,0,0,0,0,0,2016,Jul,Sep
JEROME PLAYGROUND,BROOKLYN     ,1.07,0,0,0,0,0,0,0,0,2016,Jul,Sep
GREAT KILLS PARK AT HILLCREST AVENUE,STATEN ISLAND,1.07,0,0,0,0,0,0,0,0,2016,Jul,Sep
FERMI PLAYGROUND,BROOKLYN     ,1.06,0,0,0,0,0,0,0,0,2016,Jul,Sep
ERICSSON PLAYGROUND,BROOKLYN     ,1.06,0,0,0,0,0,0,0,0,2016,Jul,Sep
MELLETT PLAYGROUND,BROOKLYN     ,1.06,0,0,0,0,0,0,0,0,2016,Jul,Sep
NELLIE BLY PARK,BROOKLYN     ,1.06,0,0,0,0,0,0,0,0,2016,Jul,Sep
TELEPHONE PLAYGROUND,QUEENS       ,1.06,0,0,0,0,0,0,0,0,2016,Jul,Sep
SEDGWICK PLAYGROUND,BRONX        ,1.05,0,0,1,0,0,0,0,1,2016,Jul,Sep
BRUCKNER PLAYGROUND,BRONX        ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
MILLBROOK PLAYGROUND,BRONX        ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND 103 CIII,MANHATTAN    ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
ROCKET PARK,QUEENS       ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
BEACH CHANNEL PLAYGROUND,QUEENS       ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
LOZADA PLAYGROUND,BRONX        ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,QUEENS       ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
JAMES WELDON JOHNSON PLAYGROUND,MANHATTAN    ,1.05,0,0,0,0,0,1,0,1,2016,Jul,Sep
SPRINGFIELD PARK NORTH,QUEENS       ,1.05,0,0,0,0,0,0,0,0,2016,Jul,Sep
NICHOLAS NAQUAN HEYWARD JR. PARK,BROOKLYN     ,1.04,0,0,0,0,0,0,0,0,2016,Jul,Sep
FISH PLAYGROUND,BROOKLYN     ,1.04,0,0,1,0,0,0,0,1,2016,Jul,Sep
PLANEVIEW PARK,QUEENS       ,1.04,0,0,0,0,0,0,0,0,2016,Jul,Sep
GILBERT RAMIREZ PARK,BROOKLYN     ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
OXPORT PLAYGROUND,BROOKLYN     ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
VAN ALST PLAYGROUND,QUEENS       ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
WOODTREE PLAYGROUND,QUEENS       ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
HAMMEL PLAYGROUND,QUEENS       ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
EASTCHESTER PLAYGROUND,BRONX        ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
SUNRISE PLAYGROUND,QUEENS       ,1.03,0,0,0,0,0,0,0,0,2016,Jul,Sep
POWELL PLAYGROUND,BROOKLYN     ,1.02,0,0,0,0,0,0,0,0,2016,Jul,Sep
MATTHEWS MULINER PLAYGROUND,BRONX        ,1.02,0,0,0,0,0,0,0,0,2016,Jul,Sep
KALTENMEIER PLAYGROUND,STATEN ISLAND,1.02,0,0,0,0,0,0,0,0,2016,Jul,Sep
BOWLING GREEN,MANHATTAN    ,1.02,0,0,0,0,0,0,0,0,2016,Jul,Sep
ANNADALE PLAYGROUND,QUEENS       ,1.01,0,0,0,0,0,0,0,0,2016,Jul,Sep
CURTIS PLAYGROUND,BROOKLYN     ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
MELROSE PLAYGROUND,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
CASERTA PLAYGROUND,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
HACKETT PARK,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND 174,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLIMPTON PLAYGROUND,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
RANDALL PLAYGROUND,BRONX        ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHESTER PLAYGROUND,BROOKLYN     ,1,0,0,0,0,0,1,0,1,2016,Jul,Sep
HOWARD PLAYGROUND,BROOKLYN     ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
JACKIE ROBINSON PLAYGROUND,BROOKLYN     ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
PINK PLAYGROUND,BROOKLYN     ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
MONSIGNOR KETT PLAYGROUND,MANHATTAN    ,1,0,0,0,1,0,0,0,1,2016,Jul,Sep
BLAKE HOBBS PLAYGROUND,MANHATTAN    ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
MARTIN LUTHER KING PLAYGROUND,MANHATTAN    ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
RUPPERT PARK,MANHATTAN    ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
BELLEROSE PLAYGROUND,QUEENS       ,1,0,0,0,0,0,0,0,0,2016,Jul,Sep
ARVERNE PLAYGROUND,QUEENS       ,0.99,0,0,0,0,0,0,0,0,2016,Jul,Sep
ABRAHAM LINCOLN PLAYGROUND,MANHATTAN    ,0.99,0,0,0,0,0,0,0,0,2016,Jul,Sep
CAPTAIN RIVERA PLAYGROUND,BRONX        ,0.99,0,0,0,0,0,0,0,0,2016,Jul,Sep
NEWTOWN BARGE PLAYGROUND,BROOKLYN     ,0.98,0,0,0,0,0,0,0,0,2016,Jul,Sep
HOLLIS PLAYGROUND,QUEENS       ,0.98,0,0,0,0,0,0,0,0,2016,Jul,Sep
MAPLE PLAYGROUND,QUEENS       ,0.98,0,0,0,0,0,0,0,0,2016,Jul,Sep
MOTT PLAYGROUND,BRONX        ,0.98,0,0,1,0,0,0,0,1,2016,Jul,Sep
GOUVERNEUR PLAYGROUND,BRONX        ,0.98,0,0,0,1,0,0,0,1,2016,Jul,Sep
ZIMMERMAN PLAYGROUND,BRONX        ,0.97,0,0,0,0,0,0,0,0,2016,Jul,Sep
LANNETT PLAYGROUND,QUEENS       ,0.97,0,0,0,0,0,0,0,0,2016,Jul,Sep
RANAQUA PARK,BRONX        ,0.97,0,0,0,0,0,0,0,0,2016,Jul,Sep
TEN EYCK PLAYGROUND,BROOKLYN     ,0.97,0,0,0,0,0,0,0,0,2016,Jul,Sep
MAE GRANT PLAYGROUND,MANHATTAN    ,0.97,0,0,0,0,0,0,0,0,2016,Jul,Sep
ANDRIES PLAYGROUND,BROOKLYN     ,0.96,0,0,0,0,0,0,0,0,2016,Jul,Sep
CARVER PLAYGROUND,BROOKLYN     ,0.96,0,0,0,0,0,0,0,0,2016,Jul,Sep
PARK SLOPE PLAYGROUND,BROOKLYN     ,0.96,0,0,0,0,0,0,0,0,2016,Jul,Sep
CHERRY TREE PARK,MANHATTAN    ,0.95,0,0,0,0,0,0,0,0,2016,Jul,Sep
DAVIS PLAYGROUND,STATEN ISLAND,0.95,0,0,0,0,0,0,0,0,2016,Jul,Sep
MATTHEW P. SAPOLIN PLAYGROUND,MANHATTAN    ,0.95,0,0,0,0,0,0,0,0,2016,Jul,Sep
PETER MINUIT PLAYGROUND,MANHATTAN    ,0.94,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOUTH ROCHDALE PLAYGROUND,QUEENS       ,0.94,0,0,0,0,0,0,0,0,2016,Jul,Sep
DREW PLAYGROUND,BRONX        ,0.94,0,0,0,0,0,0,0,0,2016,Jul,Sep
FOX PLAYGROUND BRONX,BRONX        ,0.94,0,0,0,0,0,0,0,0,2016,Jul,Sep
WALTER WARD PLAYGROUND,QUEENS       ,0.94,0,0,0,0,0,0,0,0,2016,Jul,Sep
BENSON PLAYGROUND,BROOKLYN     ,0.93,0,0,0,0,0,1,0,1,2016,Jul,Sep
CRISPUS ATTUCKS PLAYGROUND,BROOKLYN     ,0.93,0,0,0,0,0,0,0,0,2016,Jul,Sep
SURF PLAYGROUND,BROOKLYN     ,0.93,0,0,0,0,0,0,0,0,2016,Jul,Sep
BERGEN BEACH PLAYGROUND,BROOKLYN     ,0.93,0,0,0,0,0,0,0,0,2016,Jul,Sep
TIGER PLAYGROUND,BROOKLYN     ,0.93,0,0,0,0,0,0,0,0,2016,Jul,Sep
ATHENS SQUARE,QUEENS       ,0.93,0,0,1,1,0,0,0,2,2016,Jul,Sep
SAW MILL PLAYGROUND,BRONX        ,0.92,0,1,0,0,0,0,0,1,2016,Jul,Sep
ROCK GARDEN PARK,BRONX        ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
P.S. 279 PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
VIRGINIA PARK,BRONX        ,0.92,0,0,0,1,0,0,0,1,2016,Jul,Sep
ALBEMARLE PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
BARTLETT PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
BOERUM PARK,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
NEWPORT PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
PRATT PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
CARTER G. WOODSON CHILDREN'S PARK,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
HOUSTON PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
LIVONIA PARK,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
DITMARS PARK,QUEENS       ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
WHITE PLAYGROUND STATEN ISLAND,STATEN ISLAND,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
EDMONDS PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
GARDEN PLAYGROUND,BROOKLYN     ,0.92,0,0,0,0,0,0,0,0,2016,Jul,Sep
PONTIAC PLAYGROUND,BRONX        ,0.91,0,0,0,1,0,0,0,1,2016,Jul,Sep
MARTIN LUTHER PLAYGROUND,BROOKLYN     ,0.91,0,0,1,0,0,0,0,1,2016,Jul,Sep
AESOP PARK,STATEN ISLAND,0.91,0,0,0,0,0,0,0,0,2016,Jul,Sep
SLATTERY PLAYGROUND,BRONX        ,0.91,0,0,0,0,0,0,0,0,2016,Jul,Sep
BAY TERRACE PLAYGROUND,QUEENS       ,0.91,0,0,0,0,0,0,0,0,2016,Jul,Sep
WILLOUGHBY PLAYGROUND,BROOKLYN     ,0.91,0,0,0,0,0,0,0,0,2016,Jul,Sep
ESTELLA DIGGS PARK,BRONX        ,0.9,0,0,0,0,0,0,0,0,2016,Jul,Sep
WASHINGTON HALL PARK,BROOKLYN     ,0.9,0,0,0,1,0,0,0,1,2016,Jul,Sep
HARLEM RBI,MANHATTAN    ,0.9,0,0,0,0,0,0,0,0,2016,Jul,Sep
STARR PLAYGROUND,QUEENS       ,0.9,0,0,0,0,0,0,0,0,2016,Jul,Sep
AMERICAN PLAYGROUND,BROOKLYN     ,0.9,0,0,0,0,0,1,0,1,2016,Jul,Sep
HART PLAYGROUND ON BROADWAY,QUEENS       ,0.9,0,0,0,0,0,0,0,0,2016,Jul,Sep
ARROCHAR PLAYGROUND,STATEN ISLAND,0.89,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOL LAIN PLGD,MANHATTAN    ,0.89,0,0,0,0,0,0,0,0,2016,Jul,Sep
EL SHABAZZ PLAYGROUND,BROOKLYN     ,0.89,0,0,0,0,0,0,0,0,2016,Jul,Sep
PINOCCHIO PLAYGROUND,QUEENS       ,0.89,0,0,0,0,0,0,0,0,2016,Jul,Sep
ALICE KORNEGAY TRIANGLE,MANHATTAN    ,0.88,0,0,0,0,0,0,0,0,2016,Jul,Sep
PETER'S FIELD,MANHATTAN    ,0.88,0,0,0,0,0,0,0,0,2016,Jul,Sep
BEDFORD PLAYGROUND,BROOKLYN     ,0.88,0,0,0,1,0,0,0,1,2016,Jul,Sep
HAROLD SCHNEIDERMAN PLAYGROUND,QUEENS       ,0.88,0,0,0,0,0,0,0,0,2016,Jul,Sep
WAKEFIELD PLAYGROUND,BRONX        ,0.88,0,0,0,0,0,0,0,0,2016,Jul,Sep
QUEENS VALLEY PLAYGROUND,QUEENS       ,0.88,0,0,0,0,0,0,0,0,2016,Jul,Sep
LT. JOSEPH PETROSINO PARK,BROOKLYN     ,0.87,0,0,0,0,0,0,0,0,2016,Jul,Sep
EVERGREEN PLAYGROUND,BROOKLYN     ,0.87,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND 286,BROOKLYN     ,0.87,0,0,0,0,0,0,0,0,2016,Jul,Sep
BARRIER PLAYGROUND,QUEENS       ,0.87,0,0,0,0,0,0,0,0,2016,Jul,Sep
LION'S PRIDE PLAYGROUND,BROOKLYN     ,0.87,0,0,0,0,0,0,0,0,2016,Jul,Sep
NATHAN STRAUS PLAYGROUND,MANHATTAN    ,0.85,0,0,0,0,0,0,0,0,2016,Jul,Sep
SCHENCK PLAYGROUND,BROOKLYN     ,0.85,0,0,0,0,0,0,0,0,2016,Jul,Sep
HAVILAND PLAYGROUND,BRONX        ,0.84,0,0,0,0,0,0,0,0,2016,Jul,Sep
SOL BLOOM PLAYGROUND,MANHATTAN    ,0.84,0,0,0,0,0,0,0,0,2016,Jul,Sep
P.S. 155 PLAYGROUND,MANHATTAN    ,0.83,0,0,0,0,0,0,0,0,2016,Jul,Sep
STEBBINS PLAYGROUND,BRONX        ,0.83,0,0,0,0,0,0,0,0,2016,Jul,Sep
OPEN ROAD PARK,MANHATTAN    ,0.83,0,0,0,0,0,0,0,0,2016,Jul,Sep
DI GILIO PLAYGROUND,BROOKLYN     ,0.83,0,0,0,0,0,0,0,0,2016,Jul,Sep
HART PLAYGROUND ON 147 ST,QUEENS       ,0.82,0,0,0,0,0,0,0,0,2016,Jul,Sep
FLYNN PLAYGROUND,BRONX        ,0.82,0,0,0,0,0,0,0,0,2016,Jul,Sep
HIGHBRIDGE PARK BRONX SIDE,BRONX        ,0.82,0,0,0,0,0,0,0,0,2016,Jul,Sep
PARKSIDE PLAYGROUND BRONX,BRONX        ,0.82,0,0,0,0,0,0,0,0,2016,Jul,Sep
FISHER POOL,QUEENS       ,0.82,0,0,0,0,0,0,0,0,2016,Jul,Sep
ALEXANDER HAMILTON PLAYGROUND,MANHATTAN    ,0.81,0,0,0,0,0,0,0,0,2016,Jul,Sep
WEST FARMS RAPIDS,BRONX        ,0.81,0,0,0,0,0,0,0,0,2016,Jul,Sep
BELLAIRE PLAYGROUND,QUEENS       ,0.81,0,0,1,0,0,0,0,1,2016,Jul,Sep
STEINWAY PLAYGROUND,QUEENS       ,0.81,0,0,0,0,0,0,0,0,2016,Jul,Sep
RISSE STREET PARK,BRONX        ,0.81,0,0,0,0,0,0,0,0,2016,Jul,Sep
ETHAN ALLEN PLAYGROUND,BROOKLYN     ,0.8,0,0,0,0,0,0,0,0,2016,Jul,Sep
KENNEDY KING PLAYGROUND,BROOKLYN     ,0.79,0,0,0,0,0,0,0,0,2016,Jul,Sep
EUGENE MCCABE FIELD,MANHATTAN    ,0.79,0,0,0,0,0,0,0,0,2016,Jul,Sep
VLADECK PARK,MANHATTAN    ,0.79,0,0,0,0,0,0,0,0,2016,Jul,Sep
SAMUEL SEABURY PLAYGROUND,MANHATTAN    ,0.79,0,0,0,1,0,1,0,2,2016,Jul,Sep
SPIRIT PLAYGROUND,QUEENS       ,0.79,0,0,0,0,0,0,0,0,2016,Jul,Sep
MORGAN PLAYGROUND,BRONX        ,0.78,0,0,0,0,0,0,0,0,2016,Jul,Sep
MOORE PLAYGROUND,MANHATTAN    ,0.77,0,0,0,0,0,0,0,0,2016,Jul,Sep
FIRST PARK,MANHATTAN    ,0.76,0,0,0,1,0,0,0,1,2016,Jul,Sep
SGT. WILLIAM DOUGHERTY PLAYGROUND,BROOKLYN     ,0.76,0,0,0,0,0,0,0,0,2016,Jul,Sep
ADMIRAL PARK,QUEENS       ,0.76,0,0,0,0,0,0,0,0,2016,Jul,Sep
JAIME CAMPIZ PLAYGROUND,BROOKLYN     ,0.75,0,0,0,0,0,0,0,0,2016,Jul,Sep
SAMUEL N. BENNERSON 2ND PLAYGROUND,MANHATTAN    ,0.75,0,0,0,0,0,0,0,0,2016,Jul,Sep
PLAYGROUND SEVENTY FIVE,QUEENS       ,0.75,0,0,0,0,0,0,0,0,2016,Jul,Sep
WEBSTER PLAYGROUND,BRONX        ,0.74,0,0,1,0,0,0,0,1,2016,Jul,Sep
FROST PLAYGROUND,BROOKLYN     ,0.74,0,0,0,0,0,0,0,0,2016,Jul,Sep
TECUMSEH PLAYGROUND,MANHATTAN    ,0.74,0,0,0,0,0,0,0,0,2016,Jul,Sep
RAILROAD PARK BRONX,BRONX        ,0.73,0,0,0,0,0,0,0,0,2016,Jul,Sep
NATHAN WEIDENBAUM PARK,QUEENS       ,0.73,0,0,0,0,0,0,0,0,2016,Jul,Sep
BLUEBERRY PARK,STATEN ISLAND,0.72,0,0,0,0,0,0,0,0,2016,Jul,Sep
CLARK PLAYGROUND,BRONX        ,0.72,0,0,1,0,0,0,0,1,2016,Jul,Sep
HUNTS POINT PLAYGROUND,BRONX        ,0.72,0,0,0,0,0,0,0,0,2016,Jul,Sep
GUN HILL PLAYGROUND,BRONX        ,0.72,0,0,1,0,0,0,0,1,2016,Jul,Sep
BLOOMINGDALE PLAYGROUND,MANHATTAN    ,0.72,0,0,0,0,0,0,0,0,2016,Jul,Sep
GALILEO PLAYGROUND,BRONX        ,0.71,0,0,0,0,0,0,0,0,2016,Jul,Sep
I-AM-PARK,BRONX        ,0.71,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNNAMED PARK ON 17TH STREET,BROOKLYN     ,0.71,0,0,0,0,0,0,0,0,2016,Jul,Sep
LAFAYETTE GARDENS PLAYGROUND,BROOKLYN     ,0.71,0,0,0,0,0,0,0,0,2016,Jul,Sep
LINWOOD PLAYGROUND,BROOKLYN     ,0.71,0,0,0,0,0,0,0,0,2016,Jul,Sep
ORACLE PLAYGROUND,BROOKLYN     ,0.7,0,0,0,0,0,0,0,0,2016,Jul,Sep
NEWTOWN PLAYGROUND,QUEENS       ,0.7,0,0,0,0,0,0,0,0,2016,Jul,Sep
MOUNT HOPE PLAYGROUND,BRONX        ,0.7,0,0,0,1,0,0,0,1,2016,Jul,Sep
GARRISON PLAYGROUND,BRONX        ,0.7,0,0,0,0,0,0,0,0,2016,Jul,Sep
GERTRUDE EDERLE RECREATION CENTER,MANHATTAN    ,0.69,0,0,0,0,0,0,0,0,2016,Jul,Sep
SLOPE PARK,BROOKLYN     ,0.69,0,0,0,0,0,0,0,0,2016,Jul,Sep
FRED SAMUEL PLAYGROUND,MANHATTAN    ,0.69,0,0,0,0,0,0,0,0,2016,Jul,Sep
AUBURNDALE PLAYGROUND,QUEENS       ,0.69,0,0,0,0,0,0,0,0,2016,Jul,Sep
WHITE PLAYGROUND MANHATTAN,MANHATTAN    ,0.68,0,0,0,2,0,0,0,2,2016,Jul,Sep
DAWSON PLAYGROUND,BRONX        ,0.68,0,0,0,0,0,0,0,0,2016,Jul,Sep
MAPES POOL,BRONX        ,0.68,0,0,0,0,0,0,0,0,2016,Jul,Sep
LILLIAN D WALD PLAYGROUND,MANHATTAN    ,0.68,0,0,0,0,0,0,0,0,2016,Jul,Sep
RIVER AVENUE PARKS,BRONX        ,0.67,0,0,0,0,0,0,0,0,2016,Jul,Sep
HOWARD POOL,BROOKLYN     ,0.67,0,0,0,0,0,0,0,0,2016,Jul,Sep
ST. NICHOLAS PLAYGROUND SOUTH,MANHATTAN    ,0.67,0,0,0,0,0,0,0,0,2016,Jul,Sep
CANAL PARK,MANHATTAN    ,0.67,0,0,0,0,0,0,0,0,2016,Jul,Sep
RIVERBEND PLAYGROUND,BRONX        ,0.66,0,0,0,0,0,0,0,0,2016,Jul,Sep
ST. NICHOLAS PLAYGROUND NORTH,MANHATTAN    ,0.66,0,0,0,0,0,0,0,0,2016,Jul,Sep
THE PEARLY GATES,BRONX        ,0.66,0,0,0,0,0,0,0,0,2016,Jul,Sep
COLLEGE POINT PARK,QUEENS       ,0.66,0,0,0,0,0,0,0,0,2016,Jul,Sep
AUDUBON PLAYGROUND,MANHATTAN    ,0.66,0,0,0,0,0,0,0,0,2016,Jul,Sep
COURTNEY CALLENDER PLAYGROUND,MANHATTAN    ,0.65,0,0,0,0,0,0,0,0,2016,Jul,Sep
BRIZZI PLAYGROUND,BROOKLYN     ,0.65,0,0,0,0,0,0,0,0,2016,Jul,Sep
AUGUSTUS ST. GAUDENS PLAYGROUND,MANHATTAN    ,0.64,0,0,0,0,0,1,0,1,2016,Jul,Sep
VESUVIO PLAYGROUND,MANHATTAN    ,0.64,0,0,0,0,0,0,0,0,2016,Jul,Sep
SQUIBB PARK,BROOKLYN     ,0.63,0,0,0,0,0,0,0,0,2016,Jul,Sep
VETERANS GROVE,QUEENS       ,0.63,0,0,0,0,0,0,0,0,2016,Jul,Sep
ELTON PLAYGROUND,BROOKLYN     ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
TWENTY-FOUR SYCAMORES PARK,MANHATTAN    ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
EAST RIVER ESPLANADE AT E 36TH ST AND FDR,MANHATTAN    ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
CEDAR GROVE PLAYGROUND,QUEENS       ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
CLEOPATRA PLAYGROUND,BRONX        ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
BEACH 59TH ST PLAYGROUND,QUEENS       ,0.62,0,0,0,0,0,0,0,0,2016,Jul,Sep
BRIDGE PLAYGROUND,BRONX        ,0.61,0,0,0,0,0,0,0,0,2016,Jul,Sep
HALF-NELSON PLAYGROUND,BRONX        ,0.61,0,0,0,0,0,0,0,0,2016,Jul,Sep
HENRY M. JACKSON PLAYGROUND,MANHATTAN    ,0.61,0,0,0,0,0,0,0,0,2016,Jul,Sep
WILLIAM F. PASSANNANTE BALLFIELD,MANHATTAN    ,0.61,0,0,0,0,0,0,0,0,2016,Jul,Sep
DR. RONALD E. MCNAIR PLAYGROUND,MANHATTAN    ,0.6,0,0,0,0,0,0,0,0,2016,Jul,Sep
PENN SOUTH PLAYGROUND,MANHATTAN    ,0.6,0,0,0,0,0,0,0,0,2016,Jul,Sep
O'NEILL TRIANGLE,BRONX        ,0.59,0,0,0,0,0,0,0,0,2016,Jul,Sep
GEORGE WALKER JR. PARK,BROOKLYN     ,0.59,0,0,0,0,0,0,0,0,2016,Jul,Sep
UNDERHILL PLAYGROUND,BROOKLYN     ,0.59,0,0,0,0,0,0,0,0,2016,Jul,Sep
PETER DETMOLD PARK,MANHATTAN    ,0.59,0,0,0,0,0,0,0,0,2016,Jul,Sep
COBBLE HILL PARK,BROOKLYN     ,0.59,0,0,0,0,0,0,0,0,2016,Jul,Sep
